Multiplayer,2169
Soccer,31
Competitive,221
Sports,349
Racing,297
Team-Based,201
Online Co-Op,631
Football,43
Fast-Paced,215
Co-op,1203
Action,2924
Funny,921
Great Soundtrack,1287
Local Multiplayer,365
Split Screen,97
Local Co-Op,339
Singleplayer,3711
4 Player Local,126
Casual,1462
Indie,105
FPS,650
Classic,539
Story Rich,1203
Sci-fi,786
First-Person,982
Epic,45
Shooter,886
Lore-Rich,66
Aliens,126
Beautiful,113
Space,320
Atmospheric,1410
Adventure,2479
Horror,587
Online Co-Op,47
Free to Play,714
Action RPG,381
Hack and Slash,331
RPG,1664
Massively Multiplayer,437
Loot,127
Dungeon Crawler,235
Character Customization,464
Inventory Management,66
MMORPG,172
Fantasy,943
Isometric,284
PvP,510
Point & Click,14
Open World,1240
Tactical,520
War,366
Futuristic,169
Strategy,1929
RPG,55
e-sports,85
Military,255
Difficult,807
Trading,65
Realistic,436
Moddable,27
Steampunk,82
Dystopian ,89
Underwater,35
Immersive,25
Dark,272
Political,53
Alternate History,6
Battle Royale,50
Hero Shooter,24
Survival,691
Cyberpunk,145
Cinematic,90
Science,9
Looter Shooter,25
Third-Person Shooter,233
Ninja,53
Parkour,110
Third Person,752
PvE,185
FPS,61
Mature,220
Utilities,144
Software,85
Anime,720
Design & Illustration,97
Animation & Modeling,65
Memes,218
Indie,2604
Cute,562
Early Access,810
Music,102
NSFW,44
Sandbox,822
Photo Editing,19
Game Development,49
Horror,59
Dungeons & Dragons,23
Choices Matter,369
Turn-Based,526
Party-Based RPG,115
CRPG,93
Co-op Campaign,52
Romance,143
Class-Based,56
Dark Fantasy,198
Narration,66
Stealth,254
Combat,134
Crafting,371
Dragons,9
VR,238
Simulation,1654
Psychological Horror,325
Hentai,75
Sexual Content,324
Nudity,350
LGBTQ+,77
Family Friendly,533
Gore,555
Action,94
City Builder,240
Resource Management,288
Post-apocalyptic,237
Colony Sim,109
Building,516
Base-Building,319
Management,522
Economy,258
RTS,352
Real-Time with Pause,106
Great Soundtrack,142
Open World Survival Craft,120
Exploration,649
Procedural Generation,253
Space Sim,72
2D,1275
Outbreak Sim,5
Zombies,261
Replay Value,352
Addictive,99
Survival,48
Supernatural,53
Investigation,50
Mystery,214
Detective,105
Demons,68
Thriller,46
3D,441
Lovecraftian,6
Hunting,41
Walking Simulator,110
Gore,32
Tabletop,113
Board Game,160
Card Game,201
Trading Card Game,51
Physics,307
Wargame,115
Moddable,296
1990's,141
Old School,158
Score Attack,58
1980s,46
Assassin,52
Violent,30
MOBA,44
Tower Defense,145
Simulation,59
Noir,37
Surreal,109
Visual Novel,267
Point & Click,229
Sexual Content,57
Arcade,438
Retro,439
Driving,223
Colorful,484
Multiplayer,166
Historical,341
Medieval,246
Real-Time,101
Remake,128
America,48
Pixel Graphics,589
Platformer,438
Side Scroller,220
Comedy,551
Epic,10
Violent,472
Blood,70
Female Protagonist,63
Action RTS,12
Real-Time with Pause,8
Survival Horror,231
Tactical,25
World War II,153
Open World,78
Swordplay,54
Fighting,186
Turn-Based Strategy,389
Grand Strategy,150
Games Workshop,42
Real Time Tactics,125
Dinosaurs,37
Warhammer 40K,6
Rogue-like,363
Perma Death,130
Rogue-lite,315
Addictive,6
Automobile Sim,172
Third Person,42
Life Sim,84
Relaxing,344
Immersive Sim,119
Cartoony,195
LGBTQ+,8
Destruction,109
Flight,7
Flight,87
Tanks,53
Cold War,42
Naval,62
Physics,18
Parody ,31
Transportation,42
Trains,55
Resource Management,17
Level Editor,12
Voxel,57
Heist,27
Puzzle,663
Stealth,11
4X,94
Hex Grid,67
Diplomacy,40
Touch-Friendly,18
Sandbox,50
VR Only,98
JRPG,276
Remake,15
Female Protagonist,577
Dragons,52
Magic,203
Hack and Slash,22
Crime,99
Gun Customization,42
Funny,53
Robots,117
Cartoon,112
Crafting,18
Action Roguelike,184
Souls-like,14
Top-Down,286
Time Travel,39
Magic,20
Farming Sim,61
Agriculture,57
Atmospheric,102
Automation,65
City Builder,13
Education,138
Classic,44
Souls-like,69
Singleplayer,266
TrackIR,17
Cult Classic,109
Relaxing,19
Programming,46
Sailing,28
Tutorial,53
Adventure,133
Alternate History,86
Casual,107
Medical Sim,10
ATV,6
Snow,9
Nature,73
PvE,8
Audio Production,39
Free to Play,49
Dating Sim,131
Fishing,9
Metroidvania,124
2D Platformer,93
3D Vision,42
Linear,82
Action-Adventure,273
3D Platformer,115
Soundtrack,65
Level Editor,123
Shooter,21
TrackIR,1
Controller,404
Cinematic,12
Immersive Sim,8
Multiple Endings,206
Strategy,71
Mini Golf,6
Golf,9
Offroad,34
Benchmark,2
Roguevania,15
Procedural Generation,17
Dark Comedy,35
Capitalism,47
Difficult,65
Rhythm,5
Social Deduction,14
Psychological,54
Party Game,34
Minigames,16
Top-Down,27
Pirates,55
Naval Combat,45
Mature,21
Mechs,76
Time Manipulation,28
Action-Adventure,18
Mythology,60
Western,29
Bullet Time,36
Sequel,21
Third-Person Shooter,12
Idler,72
3D,29
Clicker,112
Science,57
God Game,57
Space,14
Touch-Friendly,60
Illuminati,4
Tactical RPG,137
Cartoony,10
Modern,51
